"featureid","totalObs","meanMaxTemp","maxMaxTemp","meanDays.18","meanDays.20","meanDays.22","yearsMaxTemp.18","freqMax.18","yearsMaxTemp.20","freqMax.20","yearsMaxTemp.22","freqMax.22","meanResist","meanRMSE","flag"
750171,0,21.102838955116,22.5918316539827,48,10,2,34,1,31,0.911764705882353,3,0.0882352941176471,136.720910501028,NA,NA
750172,0,21.0943958368575,22.6543110004603,49,10,2,34,1,32,0.941176470588235,4,0.117647058823529,134.062446255231,NA,NA
750173,0,24.2893843414183,25.9464519337838,104,75,32,34,1,34,1,34,1,247.813681036224,NA,NA
750174,0,22.4066669534343,24.4151746654509,76,33,6,34,1,34,1,23,0.676470588235294,164.510514750406,NA,NA
750175,0,22.91276585844,24.1559202714303,82,42,7,34,1,34,1,29,0.852941176470588,256.316558519679,NA,NA
750176,0,232.274572974723,233.517199661843,222,222,222,34,1,34,1,34,1,19508.5575075618,NA,NA
750177,0,27.9659971842755,29.2731801037117,144,120,97,34,1,34,1,34,1,694.748886148903,NA,NA
750178,0,21.0821127854565,22.4440300276455,42,8,1,34,1,30,0.882352941176471,5,0.147058823529412,152.187562156578,NA,NA
750179,0,24.3599025181533,25.7894919179233,104,73,33,34,1,34,1,34,1,236.849890419528,NA,NA
750180,0,21.5098225120498,23.006950685547,57,14,2,34,1,33,0.970588235294118,8,0.235294117647059,125.511016780661,NA,NA
750181,0,20.9764467588346,22.5814489105663,42,7,1,34,1,31,0.911764705882353,3,0.0882352941176471,116.010063296727,NA,NA
750182,0,102.428591033478,104.14499648395,222,222,222,34,1,34,1,34,1,7437.75724313124,NA,NA
750183,0,20.6350211105285,22.0484219908254,32,5,1,34,1,25,0.735294117647059,2,0.0588235294117647,158.890336661511,NA,NA
750184,0,32.5342431237808,33.8642464256125,189,172,152,34,1,34,1,34,1,1102.74668778808,NA,NA
750185,0,24.3544112335619,26.3139221230878,102,75,32,34,1,34,1,34,1,324.967041935457,NA,NA
750186,0,21.5240542511371,22.6888464639709,54,14,2,34,1,34,1,9,0.264705882352941,193.866245597416,NA,NA
750187,0,21.7848891622775,23.1532003885793,61,18,2,34,1,34,1,15,0.441176470588235,241.849821681535,NA,NA
750188,0,20.2271469469709,21.5456968306344,30,4,0,34,1,21,0.617647058823529,0,0,140.963477561236,NA,NA
750189,0,20.2861712440685,21.6686260040113,30,3,0,34,1,23,0.676470588235294,0,0,139.200823614427,NA,NA
750190,3078,47.5026423812731,49.3559185961955,1998,1998,1995,34,1,34,1,34,1,20056.4812892861,19.748568503085,""
750191,0,23.3734549016704,24.7196851196175,90,52,12,34,1,34,1,32,0.941176470588235,221.460329094428,NA,NA
750192,0,23.004956243222,24.9455835036336,82,44,7,34,1,34,1,31,0.911764705882353,180.138459301953,NA,NA
750193,0,20.6260234169449,22.556504071931,38,8,1,34,1,25,0.735294117647059,1,0.0294117647058824,105.15309969447,NA,NA
750194,0,21.5989119955516,23.0839731015146,60,18,2,34,1,33,0.970588235294118,11,0.323529411764706,132.265026602904,NA,NA
750195,0,23.8163886608541,25.4601461419162,99,66,20,34,1,34,1,34,1,205.922500713895,NA,NA
750196,0,21.0315256776901,22.9190596938226,47,7,1,34,1,31,0.911764705882353,3,0.0882352941176471,99.3438592019528,NA,NA
750197,0,28.8502290042134,30.6258886188286,152,131,107,34,1,34,1,34,1,680.332713764776,NA,NA
750198,0,21.3492081026069,22.7205455517892,50,11,2,34,1,32,0.941176470588235,6,0.176470588235294,193.807863005513,NA,NA
750199,0,20.3439764459645,21.3812894506355,34,5,0,34,1,23,0.676470588235294,0,0,142.779565676177,NA,NA
750200,0,20.485557089274,21.8410490582797,28,4,0,34,1,25,0.735294117647059,0,0,147.447503002222,NA,NA
750201,0,20.7793646288724,21.9386810995893,35,5,0,34,1,29,0.852941176470588,0,0,150.851280216706,NA,NA
750202,0,27.2654217359605,28.5342690603389,139,114,88,34,1,34,1,34,1,574.197136264375,NA,NA
750203,0,20.3595084314615,21.480202471391,30,5,0,34,1,23,0.676470588235294,0,0,138.856442018868,NA,NA
750204,0,22.4074176518942,23.7953846788427,70,30,5,34,1,34,1,23,0.676470588235294,279.027956860328,NA,NA
750205,0,20.386226931784,21.7612636594415,28,5,0,34,1,23,0.676470588235294,0,0,154.390578298721,NA,NA
750206,0,23.6931408879269,25.1032014521274,96,60,17,34,1,34,1,33,0.970588235294118,195.927493821335,NA,NA
750207,0,20.72597879198,22.5339440569659,36,6,1,34,1,28,0.823529411764706,2,0.0588235294117647,117.038174633599,NA,NA
750208,0,20.4111016929566,21.7762004066607,33,3,0,34,1,25,0.735294117647059,0,0,135.223068529146,NA,NA
750209,0,21.8344815749732,23.2559875671204,64,20,3,34,1,34,1,15,0.441176470588235,128.037716210649,NA,NA
750211,0,19.5435765958045,20.7002193651234,14,2,0,34,1,11,0.323529411764706,0,0,138.439098504772,NA,NA
750212,0,21.9260026262658,23.1144107827618,62,20,4,34,1,34,1,16,0.470588235294118,234.903810927073,NA,NA
750213,0,22.3965363351267,23.6708851439054,70,30,3,34,1,34,1,25,0.735294117647059,209.189308063619,NA,NA
750214,0,21.5764023097729,23.3505855144332,56,15,2,34,1,33,0.970588235294118,11,0.323529411764706,104.054209635531,NA,NA
750215,0,21.2043141104695,23.1875627983383,50,8,1,34,1,32,0.941176470588235,6,0.176470588235294,99.1226934375398,NA,NA
750216,0,25.9688352740101,27.3535869621348,122,98,61,34,1,34,1,34,1,560.081196105331,NA,NA
750217,0,20.5297331389067,21.9505807307546,32,5,0,34,1,25,0.735294117647059,0,0,159.613940748822,NA,NA
750218,0,23.0118408934183,24.5949446046469,86,49,9,34,1,34,1,31,0.911764705882353,162.569109173189,NA,NA
750219,0,20.1892955160532,21.3910533571039,26,5,0,34,1,19,0.558823529411765,0,0,137.509490279218,NA,NA
750220,0,20.6151947608561,21.9275166954954,33,4,0,34,1,27,0.794117647058823,0,0,147.827808456924,NA,NA
750222,0,23.0040084404667,24.1167098095162,86,44,8,34,1,34,1,30,0.882352941176471,298.446006103702,NA,NA
750223,0,28.8814779500933,30.5245317519056,152,132,108,34,1,34,1,34,1,682.305736718895,NA,NA
750224,0,23.2646891264244,24.8935752233074,86,51,13,34,1,34,1,32,0.941176470588235,198.88923761535,NA,NA
750225,0,20.3729058773119,21.4079638803878,34,5,0,34,1,23,0.676470588235294,0,0,143.062087500049,NA,NA
750226,0,19.2318608848359,20.4030264147937,11,1,0,33,0.970588235294118,7,0.205882352941176,0,0,141.491611269829,NA,NA
750227,0,25.907481958638,26.990991486858,124,99,64,34,1,34,1,34,1,545.114973912746,NA,NA
750228,0,19.820154361062,21.2521847766555,18,3,0,34,1,15,0.441176470588235,0,0,170.78554039192,NA,NA
750229,0,20.3773290221416,22.3183821274832,39,6,1,34,1,21,0.617647058823529,1,0.0294117647058824,98.52768879405,NA,NA
750230,0,20.3134074887244,21.4897064317546,30,4,0,34,1,22,0.647058823529412,0,0,137.522281098694,NA,NA
750232,0,20.058181557715,21.3910501654467,26,4,0,34,1,19,0.558823529411765,0,0,145.302352218079,NA,NA
750233,0,23.9545286456646,25.3512507589961,101,68,24,34,1,34,1,34,1,210.794421270227,NA,NA
750234,0,22.623230501095,24.3872021941328,75,34,7,34,1,34,1,27,0.794117647058823,135.236973902137,NA,NA
750235,0,20.2047332977715,21.6576569153125,22,3,0,34,1,21,0.617647058823529,0,0,157.421661980764,NA,NA
750236,0,20.1231740660638,21.6128444723128,20,3,0,34,1,20,0.588235294117647,0,0,160.095928904396,NA,NA
750237,0,21.5022136321436,23.3614110988883,53,13,2,34,1,33,0.970588235294118,9,0.264705882352941,106.851240441727,NA,NA
750238,0,21.9714205257685,23.8278060081329,64,19,3,34,1,34,1,17,0.5,112.012070589693,NA,NA
750239,0,21.3150356571864,23.2525487150362,52,10,2,34,1,33,0.970588235294118,7,0.205882352941176,103.093946435703,NA,NA
750240,0,32.9460568901613,34.7123558597175,192,178,156,34,1,34,1,34,1,1096.40122760387,NA,NA
750241,0,20.8643690810346,22.2357246636113,42,8,1,34,1,29,0.852941176470588,4,0.117647058823529,247.439046396701,NA,NA
750242,0,20.6350732171354,21.9884423475437,35,6,0,34,1,26,0.764705882352941,0,0,137.88911780285,NA,NA
750243,0,20.76452711785,22.0159132962055,38,6,1,34,1,28,0.823529411764706,1,0.0294117647058824,132.941934318996,NA,NA
750244,0,23.5078996754152,25.0427963216043,94,58,16,34,1,34,1,33,0.970588235294118,178.229623801677,NA,NA
750245,0,23.186832477471,25.1883031412093,90,54,9,34,1,34,1,32,0.941176470588235,231.125591261272,NA,NA
750246,0,20.2726782544481,21.6650173425245,28,5,0,34,1,20,0.588235294117647,0,0,213.977853128677,NA,NA
750247,0,31.1185591717873,32.5306027289922,180,158,138,34,1,34,1,34,1,1024.76239617741,NA,NA
